TITLE,ARTIST,ENTERED,WEEKS-IN-TOP10,PEAK,WEAKS-AT-PEAK,TOP10-BY-SALES
Beautiful Things,Benson Boone,2024-02-15,34,1,2,7
Not Like Us,Kendrick Lamar,2024-05-16,10,1,2,
Please Please Please,Sabrina Carpenter,2024-06-20,17,1,5,
Who,Jimin,2024-08-01,3,4,1,
Die with a Smile,Lady Gaga & Bruno Mars,2024-08-29,14,2,1,10
Somedays,"Sonny Fodera, Jazzy& D.O.D.",2024-09-13,9,5,2,
Timeless,The Weeknd & Playboi Carti,2024-10-10,2,7,2,
Sailor Song,Gigi Perez,2024-10-17,15,1,1,
Bed Chem,Sabrina Carpenter,2024-10-24,6,6,1,
APT.,Rosé & Bruno Mars,2024-10-31,16,2,7,5
That's So True,Gracie Abrams,2024-11-07,14,1,8,6
The Door,Teddy Swims,2024-11-14,10,5,2,
Bad Dreams,Teddy Swims,2024-11-21,12,6,1,
Luther,Kendrick Lamar & SZA,2024-12-05,4,4,1,
Defying Gravity,Cynthia Erivofeaturing Ariana Grande,2024-12-05,4,7,2,
Last Christmas,Wham!,2024-12-05,10,1,5,
All I Want for Christmas Is You,Mariah Carey,2024-12-05,9,2,2,
Rockin' Around the Christmas Tree,Brenda Lee,2024-12-12,8,3,1,
Do They Know It's Christmas?,Band Aid,2024-12-12,2,8,1,
Jingle Bell Rock,Bobby Helms,2024-12-12,7,5,1,
It Can't Be Christmas,Tom Grennan,2024-12-19,3,3,1,
Fairytale of New York,The Pogues featuring Kirsty MacColl,2024-12-19,6,5,1,
Santa Tell Me,Ariana Grande,2024-12-19,4,8,1,
Underneath the Tree,Kelly Clarkson,2024-12-19,6,5,1,
Messy,Lola Young,2024-12-26,11,1,4,2
Step into Christmas,Elton John,2025-01-02,3,7,1,
The Days,Chrystal,2025-01-09,8,4,3,
Nice to Meet You,Myles Smith,2025-01-23,5,6,1,
GBP,Central Cee featuring 21 Savage,2025-01-30,2,6,1,
CRG,Central Cee featuring Dave,2025-02-06,1,6,1,
Sports Car,Tate McRae,2025-02-06,13,3,1,
Abracadabra,Lady Gaga,2025-02-13,8,3,2,
Cry for Me,The Weeknd,2025-02-13,1,8,1,
Pink Pony Club,Chappell Roan,2025-02-20,22,1,2,3
Ordinary,Alex Warren,2025-02-20,26,1,13,1
Denial Is a River,Doechii,2025-02-20,1,9,1,
All the Stars,Kendrick Lamar & SZA,2025-02-27,2,5,1,
Busy Woman,Sabrina Carpenter,2025-02-27,9,6,1,
Revolving Door,Tate McRae,2025-03-06,2,9,1,
Anxiety,Doechii,2025-03-20,9,3,3,
The Giver,Chappell Roan,2025-03-27,4,2,1,
Evil J0rdan,Playboi Carti,2025-03-27,1,7,1,
Rather Lie,Playboi Carti & The Weeknd,2025-03-27,1,10,1,
Carry You Home,Alex Warren,2025-04-03,3,9,1,
Twilight Zone,Ariana Grande,2025-04-10,1,5,1,
Nokia,Drake,2025-04-10,1,10,1,
Azizam,Ed Sheeran,2025-04-17,10,3,3,
Show Me Love,WizTheMc & Bees & Honey,2025-04-17,8,3,1,
Caramel,Sleep Token,2025-04-17,1,10,1,
Love Me Not,Ravyn Lenae,2025-04-24,13,2,4,8
Steve's Lava Chicken,Jack Black,2025-05-08,2,9,1,
Undressed,Sombr,2025-05-15,8,4,3,
Blessings,Calvin Harris featuring Clementine Douglas,2025-05-22,13,3,1,
Family Matters,Skye Newman,2025-05-29,6,5,1,
Bloodline,Alex Warren & Jelly Roll,2025-06-05,2,9,1,
Just Keep Watching,Tate McRae,2025-06-12,1,6,1,
Back to Friends,Sombr,2025-06-12,3,7,1,
Manchild,Sabrina Carpenter,2025-06-19,13,1,2,
Sapphire,Ed Sheeran,2025-06-19,9,5,1,
Dior,MK featuring Chrystal ,2025-06-26,11,1,2,
Victory Lap,"Fred Again, Skepta& PlaqueBoyMax",2025-07-03,5,4,1,
Rein Me In,Sam Fender & Olivia Dean,2025-07-03,41,1,19,
Survive,Lewis Capaldi,2025-07-10,4,1,1,
Daisies,Justin Bieber,2025-07-24,9,1,1,
Golden,Huntrix,2025-07-24,22,1,10,4
Nice to Each Other ,Olivia Dean,2025-07-24,11,4,1,
Eternity,Alex Warren,2025-07-31,1,3,1,
Which One,Drake & Central Cee,2025-08-07,1,4,1,
No Broke Boys,Disco Lines & Tinashe,2025-08-07,7,2,1,
Your Idol,Saja Boys,2025-08-07,12,5,1,
The Subway,Chappell Roan,2025-08-14,5,1,1,
Soda Pop,Saja Boys,2025-08-14,10,3,2,
Man I Need,Olivia Dean,2025-08-28,33,1,1,9
Tears,Sabrina Carpenter,2025-09-11,5,3,2,
My Man on Willpower,Sabrina Carpenter,2025-09-11,1,7,1,
When Did You Get Hot?,Sabrina Carpenter,2025-09-18,2,9,2,
12 to 12,Sombr,2025-09-18,6,7,3,
Something in the Heavens,Lewis Capaldi,2025-10-02,1,3,1,
Where Is My Husband!,Raye,2025-10-02,19,1,1,
Tit for Tat,Tate McRae,2025-10-09,1,6,1,
So Easy (To Fall in Love),Olivia Dean,2025-10-09,23,2,2,
The Fate of Ophelia,Taylor Swift,2025-10-16,15,1,7,
Opalite,Taylor Swift,2025-10-16,11,1,1,
Elizabeth Taylor,Taylor Swift,2025-10-16,7,3,1,
How It's Done,Huntrix,2025-10-30,3,9,1,
Raindance,Dave featuring Tems,2025-11-06,13,1,2,
History,Dave featuring James Blake,2025-11-06,1,9,1,
Pussy Palace,Lily Allen,2025-11-13,1,8,1,
Thriller,Michael Jackson,2025-11-13,1,9,1,
Die on This Hill,Sienna Spiro,2025-11-27,4,9,2,
Century,EsDeeKid,2025-12-04,1,10,1,
XMAS,Kylie Minogue,2025-12-25,2,1,1,
Lullaby,Together for Palestine,2025-12-25,1,5,1,
